SLC2A12					watanabe
EN2			downstream		
PAWR			downstream		
PAX6			downstream		
AES			downstream		
MRAS			upstream		
INF2					watanabe
TAL2			downstream		
TAL1			downstream		
HCLS1			downstream		
JDP2			downstream		
ZNF597			downstream		
PHLPP2			upstream		
SF3B4					watanabe
SF3B5					watanabe
ZNF593			downstream		
SF3B2					watanabe
PHLPP1			upstream		
CTDP1			downstream		
SF3B3					watanabe
AHNAK					watanabe
GPS1					watanabe
RPL11					watanabe
BCLAF1			downstream		
BRD8			downstream		watanabe
RPL15					watanabe
BRD7			downstream		
SF3B1					watanabe
BRF2			downstream		
SF3A2					watanabe
BRF1			downstream		
ZNF580			downstream		
RIOK3			upstream		
AGK					watanabe
GTF2H1			downstream		
GTF2H3			downstream		
GTF2H4			downstream		
POU4F1			downstream		
